cellname	file_path	stage	celltype
GasaE751281	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998915_GasaE751281.pairs.gz	E75	ExE ectoderm
GasaE751283	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998917_GasaE751283.pairs.gz	E75	neural ectoderm
GasaE751288	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998920_GasaE751288.pairs.gz	E75	ExE ectoderm
GasaE751291	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998923_GasaE751291.pairs.gz	E75	blood
GasaE751292	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998924_GasaE751292.pairs.gz	E75	early mesoderm
GasaE751294	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998926_GasaE751294.pairs.gz	E75	mitosis
GasaE751295	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998927_GasaE751295.pairs.gz	E75	blood
GasaE751298	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998930_GasaE751298.pairs.gz	E75	neural ectoderm
GasaE751299	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998931_GasaE751299.pairs.gz	E75	ExE ectoderm
GasaE751301	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998933_GasaE751301.pairs.gz	E75	ExE endoderm
GasaE751304	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998936_GasaE751304.pairs.gz	E75	neural ectoderm
GasaE751305	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998937_GasaE751305.pairs.gz	E75	mitosis
GasaE751306	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998938_GasaE751306.pairs.gz	E75	ExE ectoderm
GasaE751311	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998943_GasaE751311.pairs.gz	E75	endoderm
GasaE751312	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998944_GasaE751312.pairs.gz	E75	ExE endoderm
GasaE751314	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998946_GasaE751314.pairs.gz	E75	neural ectoderm
GasaE751315	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998947_GasaE751315.pairs.gz	E75	early mesoderm
GasaE751317	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998949_GasaE751317.pairs.gz	E75	mitosis
GasaE751318	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998950_GasaE751318.pairs.gz	E75	ExE ectoderm
GasaE751322	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998953_GasaE751322.pairs.gz	E75	ExE ectoderm
GasaE751323	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998954_GasaE751323.pairs.gz	E75	ExE mesoderm
GasaE751325	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998956_GasaE751325.pairs.gz	E75	blood
GasaE751333	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998964_GasaE751333.pairs.gz	E75	ExE ectoderm
GasaE751336	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998967_GasaE751336.pairs.gz	E75	ExE endoderm
GasaE751337	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998968_GasaE751337.pairs.gz	E75	ExE endoderm
GasaE751338	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998969_GasaE751338.pairs.gz	E75	early mesoderm
GasaE751340	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998971_GasaE751340.pairs.gz	E75	ExE ectoderm
GasaE751341	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998972_GasaE751341.pairs.gz	E75	mitosis
GasaE751344	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998975_GasaE751344.pairs.gz	E75	early mesenchyme
GasaE751345	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998976_GasaE751345.pairs.gz	E75	neural ectoderm
GasaE751347	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998978_GasaE751347.pairs.gz	E75	early mesenchyme
GasaE751350	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998981_GasaE751350.pairs.gz	E75	endoderm
