Cellname	pairs	order_index	near_p	mitotic_p	farAvg	NaganoCellcycle	repli_score	annote_ratio
GasbE751296	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999294_GasbE751296.pairs.gz	4226	0.6384443801577393	0.13758792898687536	28096644.41509386	early/mid-S	0.5687219102458121	0.9948761437815342
GasbE751297	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999295_GasbE751297.pairs.gz	5096	0.5856990617652875	0.1599393553206917	26859874.19921844	G1	0.590879389997273	0.9950115968560235
GasbE751298	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999296_GasbE751298.pairs.gz	2291	0.6849934342238392	0.13212494349127074	25128816.139563594	early/mid-S	0.5656936066866782	0.9947100680357032
GasbE751299	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999297_GasbE751299.pairs.gz	5755	0.5378874546710413	0.17520182179243654	21307430.760546193	G1	0.5265773450828781	0.9936178371863701
GasbE751300	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999298_GasbE751300.pairs.gz	4607	0.5959401675435947	0.17367414307438786	20784538.492675394	G1	0.6035669020459895	0.9942802824551874
GasbE751301	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999299_GasbE751301.pairs.gz	81	0.7884442512669044	0.09638351888255574	22221692.661979135	mid-S/G2	0.6320230185427149	0.9953643212587918
GasbE751302	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999300_GasbE751302.pairs.gz	1665	0.6819258906209954	0.12128092949222351	27157999.108420175	early/mid-S	0.65340127860106	0.9955093250913706
GasbE751303	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999301_GasbE751303.pairs.gz	840	0.6658992999461497	0.1263911326512296	27432178.34715985	early/mid-S	0.6354661002412835	0.9950799894795824
GasbE751304	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999302_GasbE751304.pairs.gz	1241	0.7203408139566286	0.11795484620162575	24586768.620310035	early/mid-S	0.5945059241127159	0.9954575138717975
GasbE751305	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999303_GasbE751305.pairs.gz	6131	0.5280841241343934	0.16748407493287132	21624472.651639875	G1	0.5366939471243936	0.99413412442813
GasbE751306	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999304_GasbE751306.pairs.gz	5648	0.572208978140531	0.1695139197543335	24903468.69369698	G1	0.529964293557788	0.9934632781327036
GasbE751307	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999305_GasbE751307.pairs.gz	2116	0.6740295836725115	0.12954773795642385	26299886.52929831	early/mid-S	0.5857231545158357	0.9949733145323907
GasbE751308	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6999306_GasbE751308.pairs.gz	1733	0.7082667625990625	0.12778406746304663	27296771.61161752	early/mid-S	0.5511971914683538	0.9945922966511551
